"brand_name","drug_product_description","spending_year","wac_year","wac_increase_amount","wac_after_increase","unit_sales_volume_us","total_spending_5_years","total_dosage_units_5_years","total_spending_per_year","total_dosage_units_per_year"
"Lexiva",NULL,2021,NULL,NULL,NULL,NULL,"8492101.50","486273","468128.08","28884"
"Lexiva",NULL,2022,NULL,NULL,NULL,NULL,"8492101.50","486273","440765.34","22102"
"Lialda",NULL,2018,NULL,NULL,NULL,NULL,"190918427.33","29433532","94746967.00","11055447"
"Lialda",NULL,2019,NULL,NULL,NULL,NULL,"190918427.33","29433532","39925116.85","5755511"
"Lialda",NULL,2020,NULL,NULL,NULL,NULL,"190918427.33","29433532","19319746.66","3373368"
"Lialda",NULL,2021,NULL,NULL,NULL,NULL,"190918427.33","29433532","20116022.87","4641737"
"Lialda",NULL,2022,NULL,NULL,NULL,NULL,"190918427.33","29433532","16810573.95","4607469"
"Librax",NULL,2018,NULL,NULL,NULL,NULL,"31090760.59","1222345","8976346.77","226055"
"Librax",NULL,2019,NULL,NULL,NULL,NULL,"31090760.59","1222345","6813456.21","269625"
"Librax",NULL,2020,NULL,NULL,NULL,NULL,"31090760.59","1222345","6601655.00","328835"
"Librax",NULL,2021,NULL,NULL,NULL,NULL,"31090760.59","1222345","5018636.71","222908"
"Librax",NULL,2022,NULL,NULL,NULL,NULL,"31090760.59","1222345","3680665.90","174922"
"Libtayo",NULL,2019,NULL,NULL,NULL,NULL,"8853188.35","6384","2383096.83","1750"
"Libtayo",NULL,2020,NULL,NULL,NULL,NULL,"8853188.35","6384","1875102.31","1379"
"Libtayo",NULL,2021,NULL,NULL,NULL,NULL,"8853188.35","6384","1897142.02","1365"
"Libtayo",NULL,2022,NULL,NULL,NULL,NULL,"8853188.35","6384","2697847.19","1890"
"Licart",NULL,2020,NULL,NULL,NULL,NULL,"8762674.37","332754","11176.28","435"
"Licart",NULL,2021,NULL,NULL,NULL,NULL,"8762674.37","332754","1776088.32","68120"
"Licart",NULL,2022,NULL,NULL,NULL,NULL,"8762674.37","332754","6975409.77","264199"
"Lidocaine",NULL,2018,NULL,NULL,NULL,NULL,"827150615.90","351579615","238349742.70","106394628"
"Lidocaine",NULL,2019,NULL,NULL,NULL,NULL,"827150615.90","351579615","132946814.40","62688109"
"Lidocaine",NULL,2020,NULL,NULL,NULL,NULL,"827150615.90","351579615","138838994.80","59943136"
"Lidocaine",NULL,2021,NULL,NULL,NULL,NULL,"827150615.90","351579615","150086389.80","60257538"
"Lidocaine",NULL,2022,NULL,NULL,NULL,NULL,"827150615.90","351579615","166928674.20","62296204"
"Lidocaine-Hydrocortisone*",NULL,2018,NULL,NULL,NULL,NULL,"22554.98","8563","11008.00","3786"
"Lidocaine-Hydrocortisone*",NULL,2019,NULL,NULL,NULL,NULL,"22554.98","8563","7180.93","2013"
"Lidocaine-Hydrocortisone*",NULL,2020,NULL,NULL,NULL,NULL,"22554.98","8563","1681.87","842"
"Lidocaine-Hydrocortisone*",NULL,2021,NULL,NULL,NULL,NULL,"22554.98","8563","1642.53","995"
"Lidocaine-Hydrocortisone*",NULL,2022,NULL,NULL,NULL,NULL,"22554.98","8563","1041.65","927"
"Lidocaine-Prilocaine",NULL,2018,NULL,NULL,NULL,NULL,"79269593.25","149374838","28504089.94","46624119"
"Lidocaine-Prilocaine",NULL,2019,NULL,NULL,NULL,NULL,"79269593.25","149374838","16521085.10","32667188"
"Lidocaine-Prilocaine",NULL,2020,NULL,NULL,NULL,NULL,"79269593.25","149374838","14250622.32","31103424"
"Lidocaine-Prilocaine",NULL,2021,NULL,NULL,NULL,NULL,"79269593.25","149374838","10224311.02","22355641"
"Lidocaine-Prilocaine",NULL,2022,NULL,NULL,NULL,NULL,"79269593.25","149374838","9769484.87","16624466"
"Lidocaine HCl-Epinephrine",NULL,2018,NULL,NULL,NULL,NULL,"4619.79","19466","720.83","3089"
"Lidocaine HCl-Epinephrine",NULL,2019,NULL,NULL,NULL,NULL,"4619.79","19466","1223.79","5594"
"Lidocaine HCl-Epinephrine",NULL,2020,NULL,NULL,NULL,NULL,"4619.79","19466","990.95","3227"
"Lidocaine HCl-Epinephrine",NULL,2021,NULL,NULL,NULL,NULL,"4619.79","19466","843.17","4091"
"Lidocaine HCl-Epinephrine",NULL,2022,NULL,NULL,NULL,NULL,"4619.79","19466","841.05","3465"
"Lidocaine HCl Viscous",NULL,2018,NULL,NULL,NULL,NULL,"28812355.40","389593272","5250020.41","74293039"
"Lidocaine HCl Viscous",NULL,2019,NULL,NULL,NULL,NULL,"28812355.40","389593272","5630494.42","79428741"
"Lidocaine HCl Viscous",NULL,2020,NULL,NULL,NULL,NULL,"28812355.40","389593272","5748574.66","79580089"
"Lidocaine HCl Viscous",NULL,2021,NULL,NULL,NULL,NULL,"28812355.40","389593272","5836426.78","75728895"
"Lidocaine HCl Viscous",NULL,2022,NULL,NULL,NULL,NULL,"28812355.40","389593272","6346839.13","80562508"
"Lidocaine HCl*",NULL,2018,NULL,NULL,NULL,NULL,"36291130.70","39263977","4505076.20","10040395"
"Lidocaine HCl*",NULL,2019,NULL,NULL,NULL,NULL,"36291130.70","39263977","5991037.84","8167434"
"Lidocaine HCl*",NULL,2020,NULL,NULL,NULL,NULL,"36291130.70","39263977","9790199.31","8283686"
"Lidocaine HCl*",NULL,2021,NULL,NULL,NULL,NULL,"36291130.70","39263977","9682176.73","7159837"
"Lidocaine HCl*",NULL,2022,NULL,NULL,NULL,NULL,"36291130.70","39263977","6322640.62","5612625"
"Lidoderm",NULL,2018,NULL,NULL,NULL,NULL,"62390025.59","3332491","12935937.61","829780"
"Lidoderm",NULL,2019,NULL,NULL,NULL,NULL,"62390025.59","3332491","12574258.04","697141"
"Lidoderm",NULL,2020,NULL,NULL,NULL,NULL,"62390025.59","3332491","12579352.93","663996"
"Lidoderm",NULL,2021,NULL,NULL,NULL,NULL,"62390025.59","3332491","12010513.34","598764"
"Lidoderm",NULL,2022,NULL,NULL,NULL,NULL,"62390025.59","3332491","12289963.67","542810"
"Liletta",NULL,2018,NULL,NULL,NULL,NULL,"98164.86","119","14386.27","20"
"Liletta",NULL,2019,NULL,NULL,NULL,NULL,"98164.86","119","14531.42","19"
"Liletta",NULL,2020,NULL,NULL,NULL,NULL,"98164.86","119","12830.42","16"
"Liletta",NULL,2021,NULL,NULL,NULL,NULL,"98164.86","119","32593.89","37"
"Liletta",NULL,2022,NULL,NULL,NULL,NULL,"98164.86","119","23822.86","27"
"Lillow",NULL,2018,NULL,NULL,NULL,NULL,"167907.45","359636","47642.38","102956"
"Lillow",NULL,2019,NULL,NULL,NULL,NULL,"167907.45","359636","50230.67","106176"
"Lillow",NULL,2020,NULL,NULL,NULL,NULL,"167907.45","359636","46059.70","95368"
"Lillow",NULL,2021,NULL,NULL,NULL,NULL,"167907.45","359636","13907.54","32312"
"Lillow",NULL,2022,NULL,NULL,NULL,NULL,"167907.45","359636","10067.16","22824"
"Lincocin",NULL,2018,NULL,NULL,NULL,NULL,"19633.62","1072","9542.42","471"
"Lincocin",NULL,2019,NULL,NULL,NULL,NULL,"19633.62","1072","5590.34","273"
"Lincocin",NULL,2020,NULL,NULL,NULL,NULL,"19633.62","1072","2723.62","196"
"Lincocin",NULL,2021,NULL,NULL,NULL,NULL,"19633.62","1072","1777.24","132"
"Lincomycin HCl",NULL,2018,NULL,NULL,NULL,NULL,"22545.95","2085","5918.14","524"
"Lincomycin HCl",NULL,2019,NULL,NULL,NULL,NULL,"22545.95","2085","5733.55","510"
"Lincomycin HCl",NULL,2020,NULL,NULL,NULL,NULL,"22545.95","2085","7077.81","697"
"Lincomycin HCl",NULL,2021,NULL,NULL,NULL,NULL,"22545.95","2085","2552.48","234"
"Lincomycin HCl",NULL,2022,NULL,NULL,NULL,NULL,"22545.95","2085","1263.97","120"
"Lindane",NULL,2018,NULL,NULL,NULL,NULL,"523987.21","293277","181958.91","102662"
"Lindane",NULL,2019,NULL,NULL,NULL,NULL,"523987.21","293277","134849.54","75445"
"Lindane",NULL,2020,NULL,NULL,NULL,NULL,"523987.21","293277","88208.31","49980"
"Lindane",NULL,2021,NULL,NULL,NULL,NULL,"523987.21","293277","74978.16","41100"
"Lindane",NULL,2022,NULL,NULL,NULL,NULL,"523987.21","293277","43992.29","24090"
"Linezolid",NULL,2018,NULL,NULL,NULL,NULL,"99897539.26","8916575","18031068.63","1283145"
"Linezolid",NULL,2019,NULL,NULL,NULL,NULL,"99897539.26","8916575","20477845.19","1676534"
"Linezolid",NULL,2020,NULL,NULL,NULL,NULL,"99897539.26","8916575","18694214.30","1922114"
"Linezolid",NULL,2021,NULL,NULL,NULL,NULL,"99897539.26","8916575","16179858.30","1950801"
"Linezolid",NULL,2022,NULL,NULL,NULL,NULL,"99897539.26","8916575","26514552.84","2083981"
"Linezolid-0.9% NaCl",NULL,2018,NULL,NULL,NULL,NULL,"760273.66","3666504","281193.58","1368591"
"Linezolid-0.9% NaCl",NULL,2019,NULL,NULL,NULL,NULL,"760273.66","3666504","168251.89","774224"
"Linezolid-0.9% NaCl",NULL,2020,NULL,NULL,NULL,NULL,"760273.66","3666504","116641.50","604089"
"Linezolid-0.9% NaCl",NULL,2021,NULL,NULL,NULL,NULL,"760273.66","3666504","96603.51","449460"
"Linezolid-0.9% NaCl",NULL,2022,NULL,NULL,NULL,NULL,"760273.66","3666504","97583.18","470140"
"Linezolid-D5W",NULL,2018,NULL,NULL,NULL,NULL,"6321564.71","34883523","1164868.06","5842004"
"Linezolid-D5W",NULL,2019,NULL,NULL,NULL,NULL,"6321564.71","34883523","1262436.06","7065567"
"Linezolid-D5W",NULL,2020,NULL,NULL,NULL,NULL,"6321564.71","34883523","1309932.37","7271016"
"Linezolid-D5W",NULL,2021,NULL,NULL,NULL,NULL,"6321564.71","34883523","1358351.65","7508342"
"Linezolid-D5W",NULL,2022,NULL,NULL,NULL,NULL,"6321564.71","34883523","1225976.57","7196594"
"Linzess",NULL,2018,NULL,NULL,NULL,NULL,"5845958991.80","379180469","761561106.60","58153482"
"Linzess",NULL,2019,NULL,NULL,NULL,NULL,"5845958991.80","379180469","983904809.20","68273626"
"Linzess",NULL,2020,NULL,NULL,NULL,NULL,"5845958991.80","379180469","1144468128.00","75471592"
"Linzess",NULL,2021,NULL,NULL,NULL,NULL,"5845958991.80","379180469","1374354961.00","85030030"
"Linzess",NULL,2022,NULL,NULL,NULL,NULL,"5845958991.80","379180469","1581669987.00","92251739"
"Lioresal Intrathecal",NULL,2018,NULL,NULL,NULL,NULL,"2205724.52","50203","338599.12","7700"
"Lioresal Intrathecal",NULL,2019,NULL,NULL,NULL,NULL,"2205724.52","50203","427140.98","9491"
"Lioresal Intrathecal",NULL,2020,NULL,NULL,NULL,NULL,"2205724.52","50203","476630.82","11040"
"Lioresal Intrathecal",NULL,2021,NULL,NULL,NULL,NULL,"2205724.52","50203","487781.84","11312"
"Lioresal Intrathecal",NULL,2022,NULL,NULL,NULL,NULL,"2205724.52","50203","475571.76","10660"
"Liothyronine Sodium*",NULL,2018,NULL,NULL,NULL,NULL,"163499262.07","264871143","24002341.11","42341506"
"Liothyronine Sodium*",NULL,2019,NULL,NULL,NULL,NULL,"163499262.07","264871143","32616136.03","50170022"
"Liothyronine Sodium*",NULL,2020,NULL,NULL,NULL,NULL,"163499262.07","264871143","35279317.04","55088292"
"Liothyronine Sodium*",NULL,2021,NULL,NULL,NULL,NULL,"163499262.07","264871143","35200000.18","57720282"
"Liothyronine Sodium*",NULL,2022,NULL,NULL,NULL,NULL,"163499262.07","264871143","36401467.71","59551041"
"Lipitor",NULL,2018,NULL,NULL,NULL,NULL,"297560055.82","23140559","74449676.87","6259243"
"Lipitor",NULL,2019,NULL,NULL,NULL,NULL,"297560055.82","23140559","76245720.53","6115017"
"Lipitor",NULL,2020,NULL,NULL,NULL,NULL,"297560055.82","23140559","73147637.42","5587580"
"Lipitor",NULL,2021,NULL,NULL,NULL,NULL,"297560055.82","23140559","39227775.41","2789967"
"Lipitor",NULL,2022,NULL,NULL,NULL,NULL,"297560055.82","23140559","34489245.59","2388752"
"Lipofen",NULL,2018,NULL,NULL,NULL,NULL,"2287240.11","336808","747802.38","115979"
"Lipofen",NULL,2019,NULL,NULL,NULL,NULL,"2287240.11","336808","559839.77","81949"
"Lipofen",NULL,2020,NULL,NULL,NULL,NULL,"2287240.11","336808","411997.92","61301"
"Lipofen",NULL,2021,NULL,NULL,NULL,NULL,"2287240.11","336808","321908.56","47172"
"Lipofen",NULL,2022,NULL,NULL,NULL,NULL,"2287240.11","336808","245691.48","30407"
"Lisinopril",NULL,2018,NULL,NULL,NULL,NULL,"1347361938.00","13571391023","260647136.90","2548009988"
"Lisinopril",NULL,2019,NULL,NULL,NULL,NULL,"1347361938.00","13571391023","286344461.20","2673765815"
"Lisinopril",NULL,2020,NULL,NULL,NULL,NULL,"1347361938.00","13571391023","271335287.80","2770883479"
"Lisinopril",NULL,2021,NULL,NULL,NULL,NULL,"1347361938.00","13571391023","259834993.00","2781285674"
"Lisinopril",NULL,2022,NULL,NULL,NULL,NULL,"1347361938.00","13571391023","269200059.10","2797446067"
"Lisinopril-Hydrochlorothiazide",NULL,2018,NULL,NULL,NULL,NULL,"284138313.83","2680412479","54343795.51","531705036"
"Lisinopril-Hydrochlorothiazide",NULL,2019,NULL,NULL,NULL,NULL,"284138313.83","2680412479","61327402.55","543794217"
"Lisinopril-Hydrochlorothiazide",NULL,2020,NULL,NULL,NULL,NULL,"284138313.83","2680412479","59466747.85","543541825"
"Lisinopril-Hydrochlorothiazide",NULL,2021,NULL,NULL,NULL,NULL,"284138313.83","2680412479","55328043.10","534436535"
"Lisinopril-Hydrochlorothiazide",NULL,2022,NULL,NULL,NULL,NULL,"284138313.83","2680412479","53672324.82","526934866"
"Lite Touch",NULL,2018,NULL,NULL,NULL,NULL,"743760.20","3204987","277646.31","949815"
"Lite Touch",NULL,2019,NULL,NULL,NULL,NULL,"743760.20","3204987","165331.91","762556"
"Lite Touch",NULL,2020,NULL,NULL,NULL,NULL,"743760.20","3204987","108381.23","548537"
"Lite Touch",NULL,2021,NULL,NULL,NULL,NULL,"743760.20","3204987","102685.10","508165"
"Lite Touch",NULL,2022,NULL,NULL,NULL,NULL,"743760.20","3204987","89715.65","435914"
"Litetouch Insulin Syringe",NULL,2018,NULL,NULL,NULL,NULL,"10956.21","49940","5412.90","20822"
"Litetouch Insulin Syringe",NULL,2019,NULL,NULL,NULL,NULL,"10956.21","49940","3070.34","15384"
"Litetouch Insulin Syringe",NULL,2020,NULL,NULL,NULL,NULL,"10956.21","49940","1062.76","5770"
"Litetouch Insulin Syringe",NULL,2021,NULL,NULL,NULL,NULL,"10956.21","49940","868.24","4854"
"Litetouch Insulin Syringe",NULL,2022,NULL,NULL,NULL,NULL,"10956.21","49940","541.97","3110"
"Lithium Carbonate",NULL,2018,NULL,NULL,NULL,NULL,"38202662.43","323257098","7891432.99","69345156"
"Lithium Carbonate",NULL,2019,NULL,NULL,NULL,NULL,"38202662.43","323257098","7797970.46","67520812"
"Lithium Carbonate",NULL,2020,NULL,NULL,NULL,NULL,"38202662.43","323257098","7937834.03","66124684"
"Lithium Carbonate",NULL,2021,NULL,NULL,NULL,NULL,"38202662.43","323257098","7501144.09","61755624"
"Lithium Carbonate",NULL,2022,NULL,NULL,NULL,NULL,"38202662.43","323257098","7074280.86","58510822"
"Lithium Carbonate ER",NULL,2018,NULL,NULL,NULL,NULL,"40206960.82","161743047","8610004.10","32380888"
"Lithium Carbonate ER",NULL,2019,NULL,NULL,NULL,NULL,"40206960.82","161743047","8415521.40","32794838"
"Lithium Carbonate ER",NULL,2020,NULL,NULL,NULL,NULL,"40206960.82","161743047","8209379.87","33353904"
"Lithium Carbonate ER",NULL,2021,NULL,NULL,NULL,NULL,"40206960.82","161743047","7644057.10","32054816"
"Lithium Carbonate ER",NULL,2022,NULL,NULL,NULL,NULL,"40206960.82","161743047","7327998.35","31158601"
"Lithobid",NULL,2018,NULL,NULL,NULL,NULL,"9621365.75","808635","2141009.64","202405"
"Lithobid",NULL,2019,NULL,NULL,NULL,NULL,"9621365.75","808635","2124144.70","185733"
"Lithobid",NULL,2020,NULL,NULL,NULL,NULL,"9621365.75","808635","2046997.71","164204"
"Lithobid",NULL,2021,NULL,NULL,NULL,NULL,"9621365.75","808635","1804007.81","140779"
"Lithobid",NULL,2022,NULL,NULL,NULL,NULL,"9621365.75","808635","1505205.89","115514"
"Lithostat",NULL,2018,NULL,NULL,NULL,NULL,"3696898.29","207991","444108.34","23954"
"Lithostat",NULL,2019,NULL,NULL,NULL,NULL,"3696898.29","207991","835240.39","45333"
"Lithostat",NULL,2020,NULL,NULL,NULL,NULL,"3696898.29","207991","742914.43","38790"
"Lithostat",NULL,2021,NULL,NULL,NULL,NULL,"3696898.29","207991","973033.37","47770"
"Lithostat",NULL,2022,NULL,NULL,NULL,NULL,"3696898.29","207991","701601.76","52144"
"Livalo",NULL,2018,NULL,NULL,NULL,NULL,"901613024.70","88458085","135070970.90","14939085"
"Livalo",NULL,2019,NULL,NULL,NULL,NULL,"901613024.70","88458085","163884182.00","16765737"
"Livalo",NULL,2020,NULL,NULL,NULL,NULL,"901613024.70","88458085","189564415.50","18527182"
"Livalo",NULL,2021,NULL,NULL,NULL,NULL,"901613024.70","88458085","206236202.20","19169828"
"Livalo",NULL,2022,NULL,NULL,NULL,NULL,"901613024.70","88458085","206857254.10","19056253"
"Livtencity",NULL,2021,NULL,NULL,NULL,NULL,"20607533.59","90362","381019.44","1652"
"Livtencity",NULL,2022,NULL,NULL,NULL,NULL,"20607533.59","90362","20226514.15","88710"
"Lo-Zumandimine",NULL,2019,NULL,NULL,NULL,NULL,"66893.38","63588","5356.13","4732"
"Lo-Zumandimine",NULL,2020,NULL,NULL,NULL,NULL,"66893.38","63588","28931.14","23828"
"Lo-Zumandimine",NULL,2021,NULL,NULL,NULL,NULL,"66893.38","63588","17215.88","18228"
"Lo-Zumandimine",NULL,2022,NULL,NULL,NULL,NULL,"66893.38","63588","15390.23","16800"
"Lo Loestrin Fe",NULL,2018,NULL,NULL,NULL,NULL,"4512768.43","835628","616459.85","133224"
"Lo Loestrin Fe",NULL,2019,NULL,NULL,NULL,NULL,"4512768.43","835628","828182.03","163772"
"Lo Loestrin Fe",NULL,2020,NULL,NULL,NULL,NULL,"4512768.43","835628","960598.11","180378"
"Lo Loestrin Fe",NULL,2021,NULL,NULL,NULL,NULL,"4512768.43","835628","999309.87","175404"
"Lo Loestrin Fe",NULL,2022,NULL,NULL,NULL,NULL,"4512768.43","835628","1108218.57","182850"
"Locoid Lipocream",NULL,2018,NULL,NULL,NULL,NULL,"84222.26","13275","46903.85","2805"
"Locoid Lipocream",NULL,2019,NULL,NULL,NULL,NULL,"84222.26","13275","22339.62","3015"
"Locoid Lipocream",NULL,2020,NULL,NULL,NULL,NULL,"84222.26","13275","10224.05","3990"
"Locoid Lipocream",NULL,2021,NULL,NULL,NULL,NULL,"84222.26","13275","2998.48","2205"
"Locoid Lipocream",NULL,2022,NULL,NULL,NULL,NULL,"84222.26","13275","1756.26","1260"
"Loestrin",NULL,2018,NULL,NULL,NULL,NULL,"35111.12","8918","8589.82","1680"
"Loestrin",NULL,2020,NULL,NULL,NULL,NULL,"35111.12","8918","13980.33","2450"
"Loestrin",NULL,2021,NULL,NULL,NULL,NULL,"35111.12","8918","5635.78","2016"
"Loestrin",NULL,2022,NULL,NULL,NULL,NULL,"35111.12","8918","6905.19","2772"
"Loestrin Fe",NULL,2018,NULL,NULL,NULL,NULL,"127423.07","36960","24911.59","6440"
"Loestrin Fe",NULL,2019,NULL,NULL,NULL,NULL,"127423.07","36960","28500.60","6804"
"Loestrin Fe",NULL,2020,NULL,NULL,NULL,NULL,"127423.07","36960","35420.40","8988"
"Loestrin Fe",NULL,2021,NULL,NULL,NULL,NULL,"127423.07","36960","22514.58","8316"
"Loestrin Fe",NULL,2022,NULL,NULL,NULL,NULL,"127423.07","36960","16075.90","6412"
"Lofena",NULL,2022,NULL,NULL,NULL,NULL,"6394727.91","207245","6394727.91","207245"
"Lojaimiess",NULL,2020,NULL,NULL,NULL,NULL,"34306.34","50778","2263.15","4095"
"Lojaimiess",NULL,2021,NULL,NULL,NULL,NULL,"34306.34","50778","12249.88","19110"
"Lojaimiess",NULL,2022,NULL,NULL,NULL,NULL,"34306.34","50778","19793.31","27573"
"Lokelma",NULL,2019,NULL,NULL,NULL,NULL,"316618030.07","12823185","7671005.43","344560"
"Lokelma",NULL,2020,NULL,NULL,NULL,NULL,"316618030.07","12823185","48507095.74","2100377"
"Lokelma",NULL,2021,NULL,NULL,NULL,NULL,"316618030.07","12823185","100112116.60","4089068"
"Lokelma",NULL,2022,NULL,NULL,NULL,NULL,"316618030.07","12823185","160327812.30","6289180"
"Lomotil",NULL,2018,NULL,NULL,NULL,NULL,"1866097.71","668032","478883.07","171372"
"Lomotil",NULL,2019,NULL,NULL,NULL,NULL,"1866097.71","668032","429287.41","154763"
"Lomotil",NULL,2020,NULL,NULL,NULL,NULL,"1866097.71","668032","386435.18","140309"
"Lomotil",NULL,2021,NULL,NULL,NULL,NULL,"1866097.71","668032","325624.27","116555"
"Lomotil",NULL,2022,NULL,NULL,NULL,NULL,"1866097.71","668032","245867.78","85033"
"Lonhala Magnair Refill",NULL,2018,NULL,NULL,NULL,NULL,"68105659.33","3395757","4469839.95","231384"
"Lonhala Magnair Refill",NULL,2019,NULL,NULL,NULL,NULL,"68105659.33","3395757","18830050.58","970439"
"Lonhala Magnair Refill",NULL,2020,NULL,NULL,NULL,NULL,"68105659.33","3395757","21398735.50","1094018"
"Lonhala Magnair Refill",NULL,2021,NULL,NULL,NULL,NULL,"68105659.33","3395757","14531314.15","699384"
"Lonhala Magnair Refill",NULL,2022,NULL,NULL,NULL,NULL,"68105659.33","3395757","8875719.15","400532"
"Lonhala Magnair Starter",NULL,2018,NULL,NULL,NULL,NULL,"15927953.21","810329","2076344.12","107130"
"Lonhala Magnair Starter",NULL,2019,NULL,NULL,NULL,NULL,"15927953.21","810329","6982563.12","360035"
"Lonhala Magnair Starter",NULL,2020,NULL,NULL,NULL,NULL,"15927953.21","810329","3591476.04","184375"
"Lonhala Magnair Starter",NULL,2021,NULL,NULL,NULL,NULL,"15927953.21","810329","2187854.00","108299"
"Lonhala Magnair Starter",NULL,2022,NULL,NULL,NULL,NULL,"15927953.21","810329","1089715.93","50490"
"Lonsurf",NULL,2018,NULL,NULL,NULL,NULL,"532771100.62","2421626","74896392.91","385009"
"Lonsurf",NULL,2019,NULL,NULL,NULL,NULL,"532771100.62","2421626","90774138.81","443008"
"Lonsurf",NULL,2020,NULL,NULL,NULL,NULL,"532771100.62","2421626","107441016.90","497208"
"Lonsurf",NULL,2021,NULL,NULL,NULL,NULL,"532771100.62","2421626","117240904.60","511814"
"Lonsurf",NULL,2022,NULL,NULL,NULL,NULL,"532771100.62","2421626","142418647.40","584587"
"Loperamide",NULL,2018,NULL,NULL,NULL,NULL,"92078267.91","228586405","14762865.08","38720693"
"Loperamide",NULL,2019,NULL,NULL,NULL,NULL,"92078267.91","228586405","16620319.08","42733010"
"Loperamide",NULL,2020,NULL,NULL,NULL,NULL,"92078267.91","228586405","17673917.36","45617687"
"Loperamide",NULL,2021,NULL,NULL,NULL,NULL,"92078267.91","228586405","20606294.42","48951813"
"Loperamide",NULL,2022,NULL,NULL,NULL,NULL,"92078267.91","228586405","22414871.97","52563202"
"Lopid",NULL,2018,NULL,NULL,NULL,NULL,"596587.72","103518","188270.08","31188"
"Lopid",NULL,2019,NULL,NULL,NULL,NULL,"596587.72","103518","207059.65","33394"
"Lopid",NULL,2020,NULL,NULL,NULL,NULL,"596587.72","103518","85454.63","13781"
"Lopid",NULL,2021,NULL,NULL,NULL,NULL,"596587.72","103518","102052.98","16590"
"Lopid",NULL,2022,NULL,NULL,NULL,NULL,"596587.72","103518","13750.38","8565"
"Lopinavir-Ritonavir",NULL,2018,NULL,NULL,NULL,NULL,"8280621.30","1755787","583874.97","249755"
"Lopinavir-Ritonavir",NULL,2019,NULL,NULL,NULL,NULL,"8280621.30","1755787","487853.15","205510"
"Lopinavir-Ritonavir",NULL,2020,NULL,NULL,NULL,NULL,"8280621.30","1755787","295521.07","125315"
"Lopinavir-Ritonavir",NULL,2021,NULL,NULL,NULL,NULL,"8280621.30","1755787","1820274.93","343212"
"Lopinavir-Ritonavir",NULL,2022,NULL,NULL,NULL,NULL,"8280621.30","1755787","5093097.18","831995"
"Lopressor",NULL,2018,NULL,NULL,NULL,NULL,"2321187.77","889028","391334.73","167666"
"Lopressor",NULL,2019,NULL,NULL,NULL,NULL,"2321187.77","889028","465386.42","179327"
"Lopressor",NULL,2020,NULL,NULL,NULL,NULL,"2321187.77","889028","518195.35","193590"
"Lopressor",NULL,2021,NULL,NULL,NULL,NULL,"2321187.77","889028","487154.94","179328"
"Lopressor",NULL,2022,NULL,NULL,NULL,NULL,"2321187.77","889028","459116.33","169117"
"Loprox",NULL,2018,NULL,NULL,NULL,NULL,"128195.74","38760","84791.56","12480"
"Loprox",NULL,2019,NULL,NULL,NULL,NULL,"128195.74","38760","36529.38","6840"
"Loprox",NULL,2020,NULL,NULL,NULL,NULL,"128195.74","38760","2277.30","6480"
"Loprox",NULL,2021,NULL,NULL,NULL,NULL,"128195.74","38760","2363.83","6720"
"Loprox",NULL,2022,NULL,NULL,NULL,NULL,"128195.74","38760","2233.67","6240"
"Lorazepam Intensol",NULL,2018,NULL,NULL,NULL,NULL,"4860291.37","4952495","740940.66","696561"
"Lorazepam Intensol",NULL,2019,NULL,NULL,NULL,NULL,"4860291.37","4952495","927605.97","855993"
"Lorazepam Intensol",NULL,2020,NULL,NULL,NULL,NULL,"4860291.37","4952495","1268745.63","1281964"
"Lorazepam Intensol",NULL,2021,NULL,NULL,NULL,NULL,"4860291.37","4952495","982907.92","1019199"
"Lorazepam Intensol",NULL,2022,NULL,NULL,NULL,NULL,"4860291.37","4952495","940091.19","1098778"
"Lorazepam*",NULL,2018,NULL,NULL,NULL,NULL,"326140105.96","2260054820","60330888.28","466171749"
"Lorazepam*",NULL,2019,NULL,NULL,NULL,NULL,"326140105.96","2260054820","66842699.76","472864385"
"Lorazepam*",NULL,2020,NULL,NULL,NULL,NULL,"326140105.96","2260054820","67250904.03","463298521"
"Lorazepam*",NULL,2021,NULL,NULL,NULL,NULL,"326140105.96","2260054820","69719483.96","437805590"
"Lorazepam*",NULL,2022,NULL,NULL,NULL,NULL,"326140105.96","2260054820","61996129.93","419914575"
"Lorbrena",NULL,2018,NULL,NULL,NULL,NULL,"156888733.30","441278","723896.28","2039"
"Lorbrena",NULL,2019,NULL,NULL,NULL,NULL,"156888733.30","441278","20174268.96","60560"
"Lorbrena",NULL,2020,NULL,NULL,NULL,NULL,"156888733.30","441278","31446261.48","88432"
"Lorbrena",NULL,2021,NULL,NULL,NULL,NULL,"156888733.30","441278","42609600.34","118576"
"Lorbrena",NULL,2022,NULL,NULL,NULL,NULL,"156888733.30","441278","61934706.24","171671"
"Loreev XR",NULL,2021,NULL,NULL,NULL,NULL,"681735.04","48244","18437.16","1863"
"Loreev XR",NULL,2022,NULL,NULL,NULL,NULL,"681735.04","48244","663297.88","46381"
"Lortab",NULL,2018,NULL,NULL,NULL,NULL,"1484167.44","3512163","389805.82","920000"
"Lortab",NULL,2019,NULL,NULL,NULL,NULL,"1484167.44","3512163","392622.33","925091"
"Lortab",NULL,2020,NULL,NULL,NULL,NULL,"1484167.44","3512163","314908.06","742645"
"Lortab",NULL,2021,NULL,NULL,NULL,NULL,"1484167.44","3512163","214006.74","511975"
"Lortab",NULL,2022,NULL,NULL,NULL,NULL,"1484167.44","3512163","172824.49","412452"
